"tripduration","starttime","stoptime","start station id","start station name","start station latitude","start station longitude","end station id","end station name","end station latitude","end station longitude","bikeid","usertype","birth year","gender"
327,"2019-09-01 00:00:01.9580","2019-09-01 00:05:29.3410",3733,"Avenue C & E 18 St",40.730563,-73.973984,504,"1 Ave & E 16 St",40.73221853,-73.98165557,39213,"Subscriber",1968,1
1145,"2019-09-01 00:00:04.1430","2019-09-01 00:19:09.8360",3329,"Degraw St & Smith St",40.6829151,-73.99318208,270,"Adelphi St & Myrtle Ave",40.69308257,-73.97178913,21257,"Customer",1969,0
1293,"2019-09-01 00:00:07.3090","2019-09-01 00:21:40.7580",3168,"Central Park West & W 85 St",40.78472675,-73.96961715,423,"W 54 St & 9 Ave",40.76584941,-73.98690506,15242,"Customer",1969,0
1753,"2019-09-01 00:00:08.0640","2019-09-01 00:29:21.5040",3299,"E 98 St & Park Ave",40.78813,-73.95206,3160,"Central Park West & W 76 St",40.77896784,-73.97374737,38760,"Subscriber",1990,1
613,"2019-09-01 00:00:12.8510","2019-09-01 00:10:26.1850",486,"Broadway & W 29 St",40.7462009,-73.98855723,478,"11 Ave & W 41 St",40.76030096,-73.99884222,32094,"Subscriber",1992,1
482,"2019-09-01 00:00:16.5960","2019-09-01 00:08:19.4980",3775,"Suydam St & Knickerbocker Ave",40.702013,-73.923769,3771,"McKibbin St & Bogart St",40.706237,-73.933871,28271,"Customer",1969,0
489,"2019-09-01 00:00:17.5030","2019-09-01 00:08:27.1420",3775,"Suydam St & Knickerbocker Ave",40.702013,-73.923769,3771,"McKibbin St & Bogart St",40.706237,-73.933871,39424,"Customer",1969,0
1571,"2019-09-01 00:00:17.7300","2019-09-01 00:26:29.6220",387,"Centre St & Chambers St",40.71273266,-74.0046073,3440,"Fulton St & Adams St",40.692418292578466,-73.98949474096298,38711,"Customer",1969,0
571,"2019-09-01 00:00:20.1620","2019-09-01 00:09:51.2430",440,"E 45 St & 3 Ave",40.75255434,-73.97282625,505,"6 Ave & W 33 St",40.74901271,-73.98848395,31619,"Subscriber",1995,1
232,"2019-09-01 00:00:23.4450","2019-09-01 00:04:15.6320",3071,"Boerum St & Broadway",40.70538077,-73.94976519,3082,"Hope St & Union Ave",40.71167351,-73.95141312,16158,"Customer",1969,0
2000,"2019-09-01 00:00:28.5160","2019-09-01 00:33:49.4820",3295,"Central Park W & W 96 St",40.79127,-73.964839,492,"W 33 St & 7 Ave",40.75019995,-73.99093085,28542,"Customer",1996,1
831,"2019-09-01 00:00:32.4180","2019-09-01 00:14:24.3550",435,"W 21 St & 6 Ave",40.74173969,-73.99415556,173,"Broadway & W 49 St",40.76068327096592,-73.9845272898674,30286,"Subscriber",1986,1
168,"2019-09-01 00:00:33.0870","2019-09-01 00:03:21.5970",3526,"31 St & 23 Ave",40.7747878,-73.9125551,3517,"31 St & Hoyt Ave N",40.7711528,-73.9170074,39273,"Subscriber",1985,1
176,"2019-09-01 00:00:33.4550","2019-09-01 00:03:30.3780",3095,"Graham Ave & Herbert St",40.71929301,-73.94500379,3668,"Leonard St & Nassau Ave",40.7239567849954,-73.94984364509583,26619,"Subscriber",1991,1
1556,"2019-09-01 00:00:34.3390","2019-09-01 00:26:30.9080",387,"Centre St & Chambers St",40.71273266,-74.0046073,3440,"Fulton St & Adams St",40.692418292578466,-73.98949474096298,39111,"Customer",1969,0
198,"2019-09-01 00:00:36.7740","2019-09-01 00:03:54.9470",3526,"31 St & 23 Ave",40.7747878,-73.9125551,3515,"24 Ave & 26 St",40.774591,-73.918544,15843,"Subscriber",1980,1
383,"2019-09-01 00:00:39.0970","2019-09-01 00:07:02.3150",3402,"Court St & State St",40.6902375,-73.99203074,3407,"Union St & Nevins St",40.67909799721684,-73.98765474557877,28831,"Subscriber",1969,0
534,"2019-09-01 00:00:39.6490","2019-09-01 00:09:33.7820",471,"Grand St & Havemeyer St",40.71286844,-73.95698119,3668,"Leonard St & Nassau Ave",40.7239567849954,-73.94984364509583,31015,"Subscriber",1992,2
621,"2019-09-01 00:00:39.7210","2019-09-01 00:11:01.2290",3690,"Park Pl & Church St",40.71334184275907,-74.00935515761375,358,"Christopher St & Greenwich St",40.73291553,-74.00711384,19993,"Subscriber",1993,1
1252,"2019-09-01 00:00:40.4400","2019-09-01 00:21:32.5350",3168,"Central Park West & W 85 St",40.78472675,-73.96961715,423,"W 54 St & 9 Ave",40.76584941,-73.98690506,14912,"Customer",1989,1
1670,"2019-09-01 00:00:43.3990","2019-09-01 00:28:34.3430",3127,"9 St & 44 Rd",40.74966,-73.9521,3618,"27 St & Hunter St",40.7485,-73.941275,31167,"Subscriber",1994,1
261,"2019-09-01 00:00:52.2990","2019-09-01 00:05:13.9900",72,"W 52 St & 11 Ave",40.76727216,-73.99392888,513,"W 56 St & 10 Ave",40.768254,-73.988639,38466,"Subscriber",1992,1
2752,"2019-09-01 00:01:00.4220","2019-09-01 00:46:52.4680",479,"9 Ave & W 45 St",40.76019252,-73.9912551,3314,"W 95 St & Broadway",40.7937704,-73.971888,38240,"Customer",1992,1
749,"2019-09-01 00:01:00.9430","2019-09-01 00:13:30.5180",3376,"E 65 St & 2 Ave",40.76471851944339,-73.96222069859505,3305,"E 91 St & 2 Ave",40.78112229934166,-73.94965589046478,16972,"Customer",1969,0
314,"2019-09-01 00:01:06.5700","2019-09-01 00:06:21.0070",3526,"31 St & 23 Ave",40.7747878,-73.9125551,3532,"Ditmars Blvd & 19 St",40.78145,-73.9183302,17357,"Subscriber",1985,2
736,"2019-09-01 00:01:11.8030","2019-09-01 00:13:28.5450",3725,"2 Ave & E 72 St",40.7687620293096,-73.95840793848038,164,"E 47 St & 2 Ave",40.75323098,-73.97032517,31081,"Subscriber",1982,2
754,"2019-09-01 00:01:13.5470","2019-09-01 00:13:48.2410",331,"Pike St & Monroe St",40.71173107,-73.99193043,3718,"E 11 St & Avenue B",40.72746420692392,-73.97950418293476,30301,"Subscriber",1958,2
198,"2019-09-01 00:01:17.4270","2019-09-01 00:04:35.9150",3304,"6 Ave & 9 St",40.668127,-73.98377641,3365,"3 St & 7 Ave",40.6703837,-73.97839676,18586,"Subscriber",1970,1
1938,"2019-09-01 00:01:22.8740","2019-09-01 00:33:41.1280",3295,"Central Park W & W 96 St",40.79127,-73.964839,492,"W 33 St & 7 Ave",40.75019995,-73.99093085,39763,"Customer",1994,1
534,"2019-09-01 00:01:23.7520","2019-09-01 00:10:18.3080",3375,"3 Ave & E 72 St",40.7699426,-73.96060712,3336,"E 97 St & Madison Ave",40.787801,-73.953559,33357,"Subscriber",2003,1
651,"2019-09-01 00:01:25.8120","2019-09-01 00:12:17.2080",245,"Myrtle Ave & St Edwards St",40.69327018,-73.97703874,3063,"Nostrand Ave & Myrtle Ave",40.69527008,-73.95238108,18208,"Customer",1994,1
793,"2019-09-01 00:01:31.7270","2019-09-01 00:14:45.0850",312,"Allen St & Stanton St",40.722055,-73.989111,3707,"Lexington Ave & E 26 St",40.741459,-73.983293,15922,"Customer",1969,0
250,"2019-09-01 00:01:32.8650","2019-09-01 00:05:43.0230",3593,"31 St & Broadway",40.761584,-73.925921,3605,"31 Ave & Crescent St",40.7658346,-73.9265474,38354,"Subscriber",1951,2
682,"2019-09-01 00:01:37.6280","2019-09-01 00:13:00.2210",520,"W 52 St & 5 Ave",40.75992262,-73.97648516,492,"W 33 St & 7 Ave",40.75019995,-73.99093085,34097,"Subscriber",1979,1
104,"2019-09-01 00:01:38.2870","2019-09-01 00:03:22.4130",3167,"Amsterdam Ave & W 73 St",40.77966809007312,-73.98093044757842,3360,"Amsterdam Ave & W 79 St",40.7829391,-73.9786517,32178,"Subscriber",1987,1
771,"2019-09-01 00:01:38.6910","2019-09-01 00:14:30.4500",312,"Allen St & Stanton St",40.722055,-73.989111,3707,"Lexington Ave & E 26 St",40.741459,-73.983293,16467,"Subscriber",1995,1
211,"2019-09-01 00:01:43.2520","2019-09-01 00:05:14.7890",539,"Metropolitan Ave & Bedford Ave",40.71534825,-73.96024116,3082,"Hope St & Union Ave",40.71167351,-73.95141312,29094,"Subscriber",1987,1
1265,"2019-09-01 00:01:46.6990","2019-09-01 00:22:52.3150",3165,"Central Park West & W 72 St",40.77579376683666,-73.9762057363987,3283,"W 89 St & Columbus Ave",40.7882213,-73.97041561,39145,"Subscriber",1994,1
1448,"2019-09-01 00:01:46.8150","2019-09-01 00:25:55.2560",307,"Canal St & Rutgers St",40.71427487,-73.98990025,195,"Liberty St & Broadway",40.70905623,-74.01043382,17157,"Customer",1998,1
1469,"2019-09-01 00:01:47.6000","2019-09-01 00:26:16.7350",302,"Avenue D & E 3 St",40.72082834,-73.97793172,3711,"E 13 St & Avenue A",40.72966729392978,-73.98067966103554,39003,"Customer",1992,2
143,"2019-09-01 00:01:56.1080","2019-09-01 00:04:19.8840",3312,"1 Ave & E 94 St",40.7817212,-73.94594,3288,"E 88 St & 1 Ave",40.778301,-73.9488134,14617,"Customer",1989,2
971,"2019-09-01 00:01:57.7570","2019-09-01 00:18:09.4540",3758,"George St & Wilson Ave",40.702997,-73.92997,389,"Broadway & Berry St",40.71044554,-73.96525063,19891,"Customer",1988,1
1332,"2019-09-01 00:02:02.9190","2019-09-01 00:24:14.9500",3357,"W 106 St & Amsterdam Ave",40.8008363,-73.9664492472,468,"Broadway & W 56 St",40.7652654,-73.98192338,30396,"Customer",1991,1
317,"2019-09-01 00:02:06.5760","2019-09-01 00:07:23.9890",3295,"Central Park W & W 96 St",40.79127,-73.964839,3336,"E 97 St & Madison Ave",40.787801,-73.953559,30445,"Subscriber",1991,1
367,"2019-09-01 00:02:07.5200","2019-09-01 00:08:14.9050",3591,"21 St & 31 Dr",40.7659,-73.930819,3565,"36 Ave & 10 St",40.7614376,-73.9411265,38534,"Subscriber",1976,1
756,"2019-09-01 00:02:09.1890","2019-09-01 00:14:45.6930",312,"Allen St & Stanton St",40.722055,-73.989111,3707,"Lexington Ave & E 26 St",40.741459,-73.983293,17250,"Customer",1969,0
830,"2019-09-01 00:02:10.8630","2019-09-01 00:16:00.9420",3172,"W 74 St & Columbus Ave",40.7785669,-73.97754961,3387,"E 106 St & Madison Ave",40.7934337,-73.94945003,38040,"Subscriber",1986,1
1895,"2019-09-01 00:02:13.2470","2019-09-01 00:33:48.6780",3511,"Adam Clayton Powell Blvd & W 115 St",40.802535,-73.9532423,3511,"Adam Clayton Powell Blvd & W 115 St",40.802535,-73.9532423,38349,"Customer",1969,0
281,"2019-09-01 00:02:16.1010","2019-09-01 00:06:57.3430",3339,"Berkeley Pl & 6 Ave",40.6765304,-73.97846879,3416,"7 Ave & Park Pl",40.6776147,-73.97324283,39108,"Customer",1969,0
779,"2019-09-01 00:02:17.8010","2019-09-01 00:15:17.7470",268,"Howard St & Centre St",40.71910537,-73.99973337,285,"Broadway & E 14 St",40.73454567,-73.99074142,14547,"Customer",1969,0
2176,"2019-09-01 00:02:20.6990","2019-09-01 00:38:37.3360",3511,"Adam Clayton Powell Blvd & W 115 St",40.802535,-73.9532423,3509,"Lenox Ave & W 115 St",40.8011939,-73.9500739,33533,"Customer",1969,0
653,"2019-09-01 00:02:21.7490","2019-09-01 00:13:15.1380",3319,"14 St & 5 Ave",40.666287,-73.98895053,3415,"Prospect Pl & 6 Ave",40.6793307,-73.97519523,39151,"Subscriber",1988,1
2257,"2019-09-01 00:02:28.1730","2019-09-01 00:40:05.3780",3164,"Columbus Ave & W 72 St",40.7770575,-73.97898475,3167,"Amsterdam Ave & W 73 St",40.77966809007312,-73.98093044757842,35046,"Subscriber",1958,1
144,"2019-09-01 00:02:30.6890","2019-09-01 00:04:55.2150",3459,"E 53 St & 3 Ave",40.75763227739443,-73.96930575370789,385,"E 55 St & 2 Ave",40.75797322,-73.96603308,24866,"Subscriber",1976,2
1869,"2019-09-01 00:02:31.1230","2019-09-01 00:33:40.5120",3511,"Adam Clayton Powell Blvd & W 115 St",40.802535,-73.9532423,3511,"Adam Clayton Powell Blvd & W 115 St",40.802535,-73.9532423,19615,"Customer",1969,0
542,"2019-09-01 00:02:31.1930","2019-09-01 00:11:33.5500",3164,"Columbus Ave & W 72 St",40.7770575,-73.97898475,447,"8 Ave & W 52 St",40.76370739,-73.9851615,19668,"Customer",1969,0
569,"2019-09-01 00:02:31.7390","2019-09-01 00:12:01.0220",328,"Watts St & Greenwich St",40.72405549,-74.00965965,284,"Greenwich Ave & 8 Ave",40.7390169121,-74.0026376103,20925,"Subscriber",1989,1
2740,"2019-09-01 00:02:33.2450","2019-09-01 00:48:13.8530",368,"Carmine St & 6 Ave",40.73038599,-74.00214988,3307,"West End Ave & W 94 St",40.7941654,-73.974124,33681,"Subscriber",1986,1
955,"2019-09-01 00:02:34.2190","2019-09-01 00:18:29.2840",3711,"E 13 St & Avenue A",40.72966729392978,-73.98067966103554,470,"W 20 St & 8 Ave",40.74345335,-74.00004031,29159,"Subscriber",1963,1
528,"2019-09-01 00:02:34.2790","2019-09-01 00:11:22.9350",3164,"Columbus Ave & W 72 St",40.7770575,-73.97898475,447,"8 Ave & W 52 St",40.76370739,-73.9851615,38211,"Customer",1969,0
1653,"2019-09-01 00:02:35.6520","2019-09-01 00:30:08.9140",3151,"E 81 St & York Ave",40.7728384,-73.94989233,3602,"31 Ave & 34 St",40.763154,-73.920827,38861,"Customer",1997,1
2736,"2019-09-01 00:02:43.5960","2019-09-01 00:48:20.2490",368,"Carmine St & 6 Ave",40.73038599,-74.00214988,3307,"West End Ave & W 94 St",40.7941654,-73.974124,35149,"Subscriber",1986,2
450,"2019-09-01 00:02:46.8590","2019-09-01 00:10:17.6980",412,"Forsyth St & Canal St",40.7158155,-73.99422366,410,"Suffolk St & Stanton St",40.72066442,-73.98517977,25910,"Subscriber",1969,0
1062,"2019-09-01 00:02:50.3790","2019-09-01 00:20:32.6820",380,"W 4 St & 7 Ave S",40.73401143,-74.00293877,426,"West St & Chambers St",40.71754834,-74.01322069,35077,"Customer",1969,0
